,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total #= 94,Donor,Acceptor,ratio,Voc (V),Jsc (mA.cm²) or (µA.cm²),FF (%),PCE (%),Solvent,Surface aera (cm2),Donor_HOMO(ev) ,Donor_LUMO(ev),Donor_bandgap(ev),Acceptor_HOMO(ev),Acceptor_LUMO(ev),Acceptor_bandgap(ev),EffectiveEg(eV),Concentration (mg/ml),,,,,,,,,,,,,,,,,,,
"AM 1,5G ",PB2,F-BTA3,1  1,1.22,13.5,69.3,11.4,"CB + 0,5% DIO",0.062,5.48,3.42,2.06,5.59,3.82,1.77,1.66,10,,,,,,,,,,,,,,,,,,,
1000 lux,PB2,F-BTA3,1  1,1.08,98.1,78.8,27.1,"CB + 0,5% DIO",0.062,5.48,3.42,2.06,5.59,3.82,1.77,1.66,10,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",PPDT2FBT,ITIC-M,"1  1,5",0.9,12.52,59,6.7,OX-Y + 1 % DPE,0.09,5.3,3.5,1.8,5.5,3.7,1.8,1.6,20,,,,,,,,,,,,,,,,,,,
1000 lux,PPDT2FBT,ITIC-M,"1  1,5",0.63,77.4,54.4,8.9,OX-Y + 1 % DPE,0.09,5.3,3.5,1.8,5.5,3.7,1.8,1.6,20,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",PPDT2FBT,ITIC-F,"1  1,5",0.77,17.73,61,8.35,OX-Y + 1 % DPE,0.09,5.3,3.5,1.8,5.4,3.9,1.5,1.4,20,,,,,,,,,,,,,,,,,,,
1000 lux,PPDT2FBT,ITIC-F,"1  1,5",0.45,96.9,37.2,5.4,OX-Y + 1 % DPE,0.09,5.3,3.5,1.8,5.4,3.9,1.5,1.4,20,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",PPDT2FBT,tPDI2N-eh,"1  1,5",1.02,9.48,48,4.66,"OX-Y + 0,75 % DPE",0.09,5.3,3.5,1.8,5.9,3.6,2.3,1.7,20,,,,,,,,,,,,,,,,,,,
1000 lux,PPDT2FBT,tPDI2N-eh,"1  1,5",0.84,66.8,51,9.6,"OX-Y + 0,75 % DPE",0.09,5.3,3.5,1.8,5.9,3.6,2.3,1.7,20,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",PTVT-T,ITCC,-,1.08,14.3,62.06,9.6,-,1,5.38,3.01,2.37,5.58,3.77,1.81,1.61,-,,,,,,,,,,,,,,,,,,,
1000 lux,PTVT-T,ITCC,-,0.967,103.06,76.72,24.27,-,1,5.38,3.01,2.37,5.58,3.77,1.81,1.61,-,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",PTVT-V,ITCC,-,1.04,4.76,36.85,1.81,-,1,5.36,3.1,2.26,5.58,3.77,1.81,1.59,-,,,,,,,,,,,,,,,,,,,
1000 lux,PTVT-V,ITCC,-,0.856,41.08,45.54,5.1,-,1,5.36,3.1,2.26,5.58,3.77,1.81,1.59,-,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",PBDB-T,N2200,"1  1,2","0,,86",13.74,68.78,8.12,CF + 1 % DIO,0.125,5.33,2.92,2.41,5.9,4.3,1.6,1.03,,,,,,,,,,,,,,,,,,,,
1000 lux,PBDB-T,N2200,"1  1,2",0.7,89.08,70.46,14.54,CF + 1 % DIO,0.125,5.33,2.92,2.41,5.9,4.3,1.6,1.03,,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",PM6,IT-4F,1  1,0.85,19.23,73.71,12.13,"CB + 0,5% DIO","0, 048",5.45,3.65,1.8,5.66,4.14,1.52,1.31,,,,,,,,,,,,,,,,,,,,
1000 lux,PM6,IT-4F,1  1,0.671,94.59,71.48,15.03,"CB + 0,5% DIO",0.048,5.45,3.65,1.8,5.66,4.14,1.52,1.31,,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",PM6,HD-4Cl,"1  1,2",0.854,25.4,72.3,15.7,"CF + 0,3 % DIO",0.09,5.45,3.65,1.8,5.68,4.09,1.59,1.36,16.5,,,,,,,,,,,,,,,,,,,
1000 lux,PM6,HD-4Cl,"1  1,2",0.69,123.5,72,19.9,"CF + 0,3 % DIO",0.09,5.45,3.65,1.8,5.68,4.09,1.59,1.36,16.5,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",PM6,HDO-4Cl,"1  1,2",0.94,21.1,76,15.6,"CF + 0,3 % DIO",0.09,5.45,3.65,1.8,5.7,3.91,1.79,1.54,16.5,,,,,,,,,,,,,,,,,,,
1000 lux,PM6,HDO-4Cl,"1  1,2",0.793,120.2,75.7,23.4,"CF + 0,3 % DIO",0.09,5.45,3.65,1.8,5.7,3.91,1.79,1.54,16.5,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",D18,GWQ20,"1  1,2",0.968,22.24,74.1,15.95,O-XY,0.042,5.51,2.77,2.74,5.74,3.78,1.96,1.73,22,,,,,,,,,,,,,,,,,,,
1000 lux,D18,GWQ20,"1  1,2",0.792,124,67.4,20.8,O-XY,0.042,5.51,2.77,2.74,5.74,3.78,1.96,1.73,22,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",D18,Z3,"1  1,2",1.013,9.55,48.4,4.68,O-XY,0.042,5.51,2.77,2.74,5.6,3.76,1.84,1.75,22,,,,,,,,,,,,,,,,,,,
1000 lux,D18,Z3,"1  1,2",0.823,61,54.2,8.6,O-XY,0.042,5.51,2.77,2.74,5.6,3.76,1.84,1.75,22,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",D18,Z4,"1  1,2",1.001,19.08,61.4,11.73,O-XY,0.042,5.51,2.77,2.74,5.55,3.85,1.7,1.66,22,,,,,,,,,,,,,,,,,,,
1000 lux,D18,Z4,"1  1,2",0.855,103,65.2,18.1,O-XY,0.042,5.51,2.77,2.74,5.55,3.85,1.7,1.66,22,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",D18,Z5,"1  1,2",1.008,18.85,60.5,11.5,O-XY,0.042,5.51,2.77,2.74,5.58,3.78,1.8,1.73,22,,,,,,,,,,,,,,,,,,,
1000 lux,D18,Z5,"1  1,2",0.841,97,57.7,14.8,O-XY,0.042,5.51,2.77,2.74,5.58,3.78,1.8,1.73,22,,,,,,,,,,,,,,,,,,,
