,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total #= 94,Donor,Acceptor,ratio,Voc (V),Jsc (mA.cm²) or (µA.cm²),FF (%),PCE (%),Solvent,Surface aera (cm2),Donor_HOMO(ev) ,Donor_LUMO(ev),Donor_bandgap(ev),Acceptor_HOMO(ev),Acceptor_LUMO(ev),Acceptor_bandgap(ev),EffectiveEg(eV),Concentration (mg/ml),,,,,,,,,,,,,,,,,,,
1000 lux,PM6,GS-ISO,"1  1,3",1.06,102.3,71.8,25.61,CF,0.04,5.45,3.65,1.89,5.51,3.69,1.82,1.76,16,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",PM6 ,GS-ISO,"1  1,3",1.21,11.51,67.64,9.39,O-XY,0.04,5.45,3.65,1.89,5.51,3.69,1.82,1.76,25,,,,,,,,,,,,,,,,,,,
1000 lux,PM6,GS-ISO,"1  1,3",1.08,104.8,69.76,25.84,O-XY,0.04,5.45,3.65,1.89,5.51,3.69,1.82,1.76,25,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",PM6 ,GS-ISO,"1  1,3",1.21,11.69,70.27,9.97,"O-XY + 0,5% DIO",0.04,5.45,3.65,1.89,5.51,3.69,1.82,1.76,25,,,,,,,,,,,,,,,,,,,
1000 lux,PM6,GS-ISO,"1  1,3",1.08,102.8,71.7,26.65,"O-XY + 0,5% DIO",0.04,5.45,3.65,1.89,5.51,3.69,1.82,1.76,25,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",PM6,GS-ISO,"1  1,3",1.21,13.65,70.38,11.62,"O-XY + 0,5% DIO",1,5.45,3.65,1.89,5.51,3.69,1.82,1.76,23,,,,,,,,,,,,,,,,,,,
1000 lux,PM6,GS-ISO,"1  1,3",1.09,101.51,80.36,29.15,"O-XY + 0,5% DIO",1,5.45,3.65,1.89,5.59,3.82,1.77,1.63,23,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",PM6,F-BTA3,1  1,1.2,11.34,66.7,9.08,O-XY,0.04,5.45,3.65,1.89,5.59,3.82,1.77,1.63,16,,,,,,,,,,,,,,,,,,,
1000 lux,PM6,F-BTA3,1  1,1.062,82,70.8,20.35,O-XY,0.04,5.45,3.65,1.89,5.59,3.82,1.77,1.63,16,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",PM6,F-BTA3,1  1,1.204,11.5,69,9.55,O-XY + 15% DBCL (SA),0.04,5.45,3.65,1.89,5.59,3.82,1.77,1.63,16,,,,,,,,,,,,,,,,,,,
1000 lux,PM6,F-BTA3,1  1,1.066,83,71.6,20.91,O-XY + 15% DBCL (SA),0.04,5.45,3.65,1.89,5.59,3.82,1.77,1.63,16,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",PM6,F-BTA3,1  1,1.19,11.49,65.6,8.97,(20%)CS2/O-XY + 15% DBCL,0.04,5.45,3.65,1.89,5.59,3.82,1.77,1.63,16,,,,,,,,,,,,,,,,,,,
1000 lux,PM6,F-BTA3,1  1,1.058,83,71.2,20.63,(20%)CS2/O-XY + 15% DBCL,0.04,5.45,3.65,1.89,5.59,3.82,1.77,1.63,16,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",D18,Cl-BTA5,-,1.16,15.17,67.96,12,-,-,5.51,3.55,1.96,5.71,3.97,1.74,1.54,-,,,,,,,,,,,,,,,,,,,
1000 lux,D18,Cl-BTA5,-,1.019,91.11,68.96,21.2,-,-,5.51,3.55,1.96,5.71,3.97,1.74,1.54,-,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",PM6,Y6-O,"1  1,2",0.94,22.87,77,16.48,CF + 2% CN,-,5.45,3.65,1.8,5.75,3.71,2.04,1.74,17.6,,,,,,,,,,,,,,,,,,,
1010 lux,PM6,Y6-O,"1  1,2",0.83,147,76,30.13,CF + 2% CN,-,5.45,3.65,1.8,5.75,3.71,2.04,1.74,17.6,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",PB2,FCC-Cl,1  1,1.08,17.4,76.9,14.4,"CB + 0,3% DIO",-,5.48,3.42,2.06,5.73,3.71,2.02,1.77,-,,,,,,,,,,,,,,,,,,,
1000 lux,PB2,FCC-Cl,1  1,0.92,123,79.8,29.1,"CB + 0,3% DIO",-,5.48,3.42,2.06,5.73,3.71,2.02,1.77,-,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",PB2,FCC-Cl,1  1,1.08,17.3,77,14.4,"CB + 0,3% DIO",-,5.48,3.42,2.06,5.73,3.71,2.02,1.77,-,,,,,,,,,,,,,,,,,,,
1000 lux,PB2,FCC-Cl,1  1,0.926,126,80.7,30.4,"CB + 0,3% DIO",-,5.48,3.42,2.06,5.73,3.71,2.02,1.77,-,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",TPD-3F,FCC-Cl,"1  1,5",1.12,12.9,65.1,9.6,O-XY,0.16,5.62,3.73,1.9,5.73,3.71,2.02,1.91,20,,,,,,,,,,,,,,,,,,,
1000 lux,TPD-3F,FCC-Cl,"1  1,5",0.95,107.2,69.7,20.1,O-XY,0.16,5.62,3.73,1.9,5.73,3.71,2.02,1.91,20,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",TPD-3F,FCC-Cl,"1  1,5",1.11,13.6,64,10.5,O-XY + 15%Tetralin,0.16,5.62,3.73,1.9,5.73,3.71,2.02,1.91,20,,,,,,,,,,,,,,,,,,,
1000 lux,TPD-3F,FCC-Cl,"1  1,5",0.96,106,71,21.6,O-XY + 15%Tetralin,0.16,5.62,3.73,1.9,5.73,3.71,2.02,1.91,20,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",TPD-3F,FCC-Cl,"1  1,5",1.1,14.4,65,10.9,O-XY + 15%DPE,0.16,5.62,3.73,1.9,5.73,3.71,2.02,1.91,20,,,,,,,,,,,,,,,,,,,
1000 lux,TPD-3F,FCC-Cl,"1  1,5",0.94,107,70,20.8,O-XY + 15%DPE,0.16,5.62,3.73,1.9,5.73,3.71,2.02,1.91,20,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",PM6,IT-4F,-,0.91,15.96,66.41,9.31,CB,0.04,5.45,3.65,1.8,5.66,4.14,1.52,1.31,-,,,,,,,,,,,,,,,,,,,
1000 lux,PM6,IT-4F,-,0.66,118.2,68.06,19.05,CB,0.04,5.45,3.65,1.8,5.66,4.14,1.52,1.31,-,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",PM6,Y6,1  1,0.81,25.06,68.89,13.9,CB,0.04,5.45,3.65,1.89,5.6,4.1,1.5,1.35,-,,,,,,,,,,,,,,,,,,,
500 lux,PM6,Y6,1  1,0.64,71.55,72.4,23.78,CB,0.04,5.45,3.65,1.89,5.6,4.1,1.5,1.35,-,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",PM6,Y6,"1  1,2",0.836,26,76.9,16.8,"CF + 0,5% CN",0.04,5.45,3.65,1.89,5.6,4.1,1.5,1.35,7.5,,,,,,,,,,,,,,,,,,,
500 lux,PM6,Y6,"1  1,2",0.7,62.9,78.9,20.9,"CF + 0,5% CN",0.04,5.45,3.65,1.89,5.6,4.1,1.5,1.35,7.5,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",PB2,FCC-Cl,1  1,1.06,17.6,77,14.4,"CB + 0,5% DIO",0.04,5.48,3.42,2.06,5.73,3.71,2.02,1.77,10,,,,,,,,,,,,,,,,,,,
500 lux,PB2,FCC-Cl,1  1,0.909,63.8,78.9,29,"CB + 0,5% DIO",0.04,5.48,3.42,2.06,5.73,3.71,2.02,1.77,10,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",PM6,IT-4F,1  1,0.872,20.4,68.7,12.2,CB + 1% DIO,1.07,5.45,3.65,1.8,5.66,4.14,1.52,1.31,10,,,,,,,,,,,,,,,,,,,
1000 lux,PM6,IT-4F,1  1,0.712,113,78,20.8,CB + 1% DIO,1.07,5.45,3.65,1.8,5.66,4.14,1.52,1.31,10,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",PM6,ITCC,1  1,1.1,14.5,64.3,10.3,"CB + 0,5% DIO",1.07,5.45,3.65,1.8,5.47,3.76,1.71,1.69,10,,,,,,,,,,,,,,,,,,,
1000 lux,PM6,ITCC,1  1,0.962,95.8,75.2,22,"CB + 0,5% DIO",1.07,5.45,3.65,1.8,5.47,3.76,1.71,1.69,10,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",PTQ10,IDIC,"1  1,5",0.97,16.6,65.8,10.6,CF,-,5.54,2.98,2.56,5.89,3.65,2.24,1.89,25,,,,,,,,,,,,,,,,,,,
1000 lux,PTQ10,IDIC,"1  1,5",0.78,110,69.3,18.5,CF,-,5.54,2.98,2.56,5.89,3.65,2.24,1.89,25,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",PTQ10,O-IDFBR,"1  1,5",1.35,9.06,56.05,6.87,CB,0.8,5.54,2.98,2.56,5.75,3.7,2.05,1.84,20,,,,,,,,,,,,,,,,,,,
560 lux,PTQ10,O-IDFBR,"1  1,5",1.21,57.7,58.5,22.6,CB,0.8,5.54,2.98,2.56,5.75,3.7,2.05,1.84,20,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",PBDB-T,BTA3,1  1,1.124,13.1,54.4,8.01,"CF + 0,5% CN",0.04,5.33,2.92,2.41,5.49,3.73,1.76,1.6,20,,,,,,,,,,,,,,,,,,,
1000 lux,PBDB-T,BTA3,1  1,0.99,95.8,71.8,23.3,"CF + 0,5% CN",0.16,5.33,2.92,2.41,5.49,3.73,1.76,1.6,20,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",PM6,BTA3,1  1,1.276,7.6,55.2,5.35,"CF + 0,5% CN",0.04,5.45,3.65,1.8,5.49,3.73,1.76,1.72,20,,,,,,,,,,,,,,,,,,,
1000 lux,PM6,BTA3,1  1,1.12,65,67.1,15.9,"CF + 0,5% CN",0.16,5.45,3.65,1.8,5.49,3.73,1.76,1.72,20,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",PB4,FTCC-Br,1  1,1.09,17.9,76.14,14.79,"CB + 0,5% DIO",0.06,5.55,3.48,2.06,5.59,3.82,1.77,1.73,20,,,,,,,,,,,,,,,,,,,
1000 lux,PB4,FTCC-Br,1  1,0.967,119.87,82,31.09,"CB + 0,5% DIO",1,5.55,3.48,2.06,5.59,3.82,1.77,1.73,20,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",PB2,FTCC-Br,1  1,1.05,17.9,78.8,14.8,"CB + 0,5% DIO",0.06,5.48,3.42,2.06,5.59,3.82,1.77,1.66,20,,,,,,,,,,,,,,,,,,,
