1,,,,,,,,,,,,,,
,Donor,Acceptor,ratio,Voc (V),Jsc (mA.cm²) or (µA.cm²),FF (%),PCE (%),Toxic,Surface aera (cm2),Donor_HOMO(ev) ,Donor_LUMO(ev),Acceptor_HOMO(ev),Acceptor_LUMO(ev),Concentration (mg/ml)
,,,,,,,,,,,,,,
100000,D18,FCC-Cl,1.5,1.08,16.04,76,13.1,4,0.059,5.43,3.46,5.73,3.71,7.5
1000,D18,FCC-Cl,1.5,0.955,123,79.8,29.4,4,0.059,5.43,3.46,5.73,3.71,7.5
100000,PM6,FCC-Cl,1,1.02,16.22,78.1,13,4,0.059,5.45,3.65,5.73,3.71,10
1000,PM6,FCC-Cl,1,0.895,122.4,81.1,27.9,4,0.059,5.45,3.65,5.73,3.71,10
100000,D18-Cl,F-BTA3,1.2,1.23,11.6,64.8,9.24,3,-,5.35,2.7,5.56,3.49,22
1000,D18-Cl,F-BTA3,1.2,1.08,95.5,72.2,24.7,3,-,5.35,2.7,5.56,3.49,22
100000,D18-Cl,F-BTA3:eC9-2Cl,1.2,0.95,20.4,67.6,13.1,3,-,5.35,2.7,5.6,4.1,22
1000,D18-Cl,F-BTA3:eC9-2Cl,1.2,0.86,120,79.6,27.2,3,-,5.35,2.7,5.6,4.1,22
100000,J52-Cl,BTA3,1,1.243,12.9,66.12,10.6,2,0.05,5.39,3.45,5.49,3.73,18
1000,J52-Cl,BTA3,1,1.07,96.82,77.4,26.66,2,0.05,5.39,3.45,5.49,3.73,18
100000,J52-Cl,BTA3:BTA1,1,1.275,12.98,67.76,11.22,2,0.05,5.39,3.45,5.5,3.75,18
1000,J52-Cl,BTA3:BTA1,1,1.12,96.65,80.27,28.84,2,0.05,5.39,3.45,5.5,3.75,18
100000,PM6 ,GS-ISO,1.3,1.22,11.44,70.46,9.87,4,0.04,5.45,3.65,5.51,3.69,16
1000,PM6,GS-ISO,1.3,1.06,102.3,71.8,25.61,4,0.04,5.45,3.65,5.51,3.69,16
100000,PM6 ,GS-ISO,1.3,1.21,11.51,67.64,9.39,1,0.04,5.45,3.65,5.51,3.69,25
1000,PM6,GS-ISO,1.3,1.08,104.8,69.76,25.84,1,0.04,5.45,3.65,5.51,3.69,25
100000,PM6 ,GS-ISO,1.3,1.21,11.69,70.27,9.97,1,0.04,5.45,3.65,5.51,3.69,25
1000,PM6,GS-ISO,1.3,1.08,102.8,71.7,26.65,1,0.04,5.45,3.65,5.51,3.69,25
100000,PM6,GS-ISO,1.3,1.21,13.65,70.38,11.62,1,1,5.45,3.65,5.51,3.69,23
1000,PM6,GS-ISO,1.3,1.09,101.51,80.36,29.15,1,1,5.45,3.65,5.59,3.82,23
100000,PM6,F-BTA3,1,1.2,11.34,66.7,9.08,1,0.04,5.45,3.65,5.59,3.82,16
1000,PM6,F-BTA3,1,1.062,82,70.8,20.35,1,0.04,5.45,3.65,5.59,3.82,16
100000,PM6,F-BTA3,1,1.204,11.5,69,9.55,1,0.04,5.45,3.65,5.59,3.82,16
1000,PM6,F-BTA3,1,1.066,83,71.6,20.91,1,0.04,5.45,3.65,5.59,3.82,16
100000,PM6,F-BTA3,1,1.19,11.49,65.6,8.97,1,0.04,5.45,3.65,5.59,3.82,16
1000,PM6,F-BTA3,1,1.058,83,71.2,20.63,1,0.04,5.45,3.65,5.59,3.82,16
100000,D18,Cl-BTA5,-,1.16,15.17,67.96,12,-,-,5.51,3.55,5.71,3.97,-
1000,D18,Cl-BTA5,-,1.019,91.11,68.96,21.2,-,-,5.51,3.55,5.71,3.97,-
100000,PM6,Y6-O,1.2,0.94,22.87,77,16.48,4,-,5.45,3.65,5.75,3.71,17.6
1000,PM6,Y6-O,1.2,0.83,147,76,30.13,4,-,5.45,3.65,5.75,3.71,17.6
100000,PB2,FCC-Cl,1,1.08,17.4,76.9,14.4,3,-,5.48,3.42,5.73,3.71,-
