Donor,HOMO_D,LUMO_D,Eg_D,Acceptor,HOMO_A,LUMO_A,Eg_A,DA ratio,solvent,total solids,thickness,Temp,HTL,ETL,Voc,Jsc,FF,PCE
PTB7-Th,-5.2,-3.5,,NDI-TR,-5.81,-3.95,1.87,,,,175,25,PEDOT:PSS,Al,0.64,7.01,69,3.07
PBDB-T,-5.23,-3.42,,IXIC,-5.13,-3.78,1.35,1:01,CF,14,100,100,PEDOT:PSS,ZrAcAc,0.82,20.9,65.4,11.3
PBDB-T,-5.23,-3.42,,IXIC-4Cl,-5.2,-3.95,1.25,1:01,CF,14,100,100,PEDOT:PSS,ZrAcAc,0.69,22.9,71.2,11.2
HFQx-T,-5.45,-3.5,1.76,ITTC,-5.49,-3.85,1.61,1:01,CF,18,100,130,PEDOT:PSS,PDINO,0.88,16.49,71,10.4
PBDB-T,-5.23,-3.42,,ITIC-OE,-5.67,-4.03,1.57,1:01,CB,,103,120,PEDOT:PSS,PFN-Br,0.85,14.8,67,8.4
PBDB-T,-5.23,-3.42,,ITIC,-5.68,-4.03,1.58,1:01,CB,,100,120,PEDOT:PSS,PFN-Br,0.89,16.5,71,10.4
PBDB-T,-5.23,-3.42,,IT-OM-1,-5.5,-3.76,1.67,1:01,CB,20,95,150,MoOx,ZnO,1.01,12.31,51,6.3
PBDB-T,-5.23,-3.42,,IT-OM-2,-5.49,-3.86,1.59,1:01,CB,20,105,150,MoOx,ZnO,0.93,17.53,73,11.8
PBDB-T,-5.23,-3.42,,IT-OM-3,-5.52,-3.8,1.64,1:01,CB,20,105,150,MoOx,ZnO,0.97,16.38,68,10.8
PBDB-T,-5.23,-3.42,,IT-OM-4,-5.49,-3.81,1.63,1:01,CB,20,105,150,MoOx,ZnO,0.96,14.69,56,7.9
PBDB-T,-5.33,-3.53,,ITCT-DM,-5.48,-3.9,1.58,1:01,CB,20,100,120,PEDOT:PSS,N719:PrC60MAI,0.904,16.32,65,10.56
PBDB-T,-5.33,-3.53,,ITCT,-5.52,-3.45,,1:01,CB,20,100,120,PEDOT:PSS,N719:PrC60MAI,0.85,17.88,72,11.27
PBDB-T,-5.23,-3.18,,ITCPTC-Th,-5.68,-4.03,1.6,1:01,CB,20,100,25,MoOx,ZnO,0.856,17.05,72.7,10.61
PBDB-T,-5.23,-3.18,,ITCPTC-Se,-5.65,-4,1.59,1:01,CB,20,100,25,MoOx,ZnO,0.869,15.2,68.3,9.02
PTB7-Th,-5.22,-3.64,,IEICO-4F,-5.44,-4.19,,01:01.5,CB,37.5,100,100,PEDOT:PSS,PFN-Br,0.72,25.16,61.45,11.13
PBDB-T,-5.33,-3.53,,ITCC,-5.47,-3.76,,1:01,CB,20,100,100,PEDOT:PSS,PFN-Br,0.98,16.14,71.32,11.28
PBDB-T,,,,MeIC,-5.57,-3.94,1.53,1:01,CB,20,100,120,PEDOT:PSS,PDIN,0.896,18.07,74.3,12.03
PTB7-Th,-5.31,-3.71,,IFTIC,-5.42,-3.85,1.82,1:02,o-DCB,25,85,25,MoOx,ZnO,0.9,11.85,53.5,5.77
PBDTTT-C-T,-5.11,-3.25,,IDT-2BM,-5.6,-3.8,1.6,1.5:1,o-DCB,30,,25,PEDOT:PSS,Ca,0.76,9.81,54.4,4.19
PBDTTT-C-T,-5.11,-3.25,,IDTT-2BM,-5.5,-3.8,1.54,1.5:1,o-DCB,30,,25,PEDOT:PSS,Ca,0.845,9.67,56.8,4.7
PTB7-Th,-5.42,-3.81,,IDT-T,-5.41,-3.96,1.45,01:01.3,CB,10,,25,MoOx,ZnO,0.84,9.54,50.9,4.08
PBDB-T,-5.21,-3.41,,IDT-Tz,-5.62,-4.09,1.53,1:01,CB,10,,25,MoOx,ZnO,0.88,13.67,70.8,8.52
PTB7-Th,-5.22,-3.64,,IDT-IC,-5.61,-3.88,1.72,01:01.5,o-DCB,,127,150,PEDOT:PSS,PDINO,0.83,9.53,40,3.16
PTB7-Th,-5.2,-3.59,,IEIC,-5.42,-3.82,1.57,01:01.5,o-DCB,25,110,25,PEDOT:PSS,PDIN,0.97,13.55,48,6.31
PTB7-Th,-5.22,-3.64,,IDT-N,-5.73,-4.08,1.66,1:01,CF,10,100,100,PEDOT:PSS,PNDIT-F3N-Br,0.73,13.02,57.7,5.5
PTB7-Th,-5.22,-3.64,,IDT-T-N,-5.58,-4.06,1.52,1:01,CF,10,100,100,PEDOT:PSS,PNDIT-F3N-Br,0.87,14.67,51.38,6.6
PBDB-T,-5.33,-3.53,,IDT-N,-5.73,-4.08,1.66,1:01,CF,10,100,100,PEDOT:PSS,PNDIT-F3N-Br,0.79,15.88,71.91,8.99
PBDB-T,-5.33,-3.53,,IDT-T-N,-5.58,-4.06,1.52,1:01,CF,10,100,100,PEDOT:PSS,PNDIT-F3N-Br,0.94,14.03,56.11,7.4
PBDB-T,-5.23,-3.42,,IDT-EDOT,-5.43,-3.8,1.41,01:01.2,o-DCB,,100,25,MoOx,ZnO,0.86,21.34,62,11.32
PBDB-T,-5.23,-3.42,,IDT-PDOT,-5.39,-3.77,1.43,01:00.5,o-DCB,,100,25,MoOx,ZnO,0.85,5.26,48.9,2.18
PTB7-Th,-5.2,-3.6,,p-IDTIDT-IC,-5.42,-3.82,1.53,01:01.5,o-DCB,25,150,150,PEDOT:PSS,PDINO,0.94,14.49,47.5,6.48
PBDB-TF,-5.48,-3.64,1.8,IDT-C6,-5.59,-3.35,1.65,1:01,CF,16,110,100,PEDOT:PSS,PFN-Br,0.96,17.5,74,12.5
PBDB-TF,-5.48,-3.64,1.8,IDT-PhC6,-5.56,-3.32,1.74,1:01,CF,16,100,100,PEDOT:PSS,PFN-Br,1,13,43,5.6
PTB7-Th,,,,IDT-2BM,-5.56,-3.65,1.63,01:01.5,CB,,,25,MoOx,ZnO,0.826,9.29,52,3.97
FTAZ,,,,IDCIC,-5.19,-3.72,1.45,,CF,23.3,120,100,MoOx,ZnO,0.87,21.98,71.03,13.58
PBDB-T,-5.33,-2.92,,FDNCTF,-5.42,-3.73,1.6,01:00.8,CB,19.8,120,25,PEDOT:PSS,PDINO,0.94,15.8,66,10
PBDB-T,-5.33,-2.92,,FDICTF,-5.43,-3.71,1.63,01:00.8,CB,19.8,120,25,PEDOT:PSS,PDINO,0.93,16.3,72.5,11.2
PTB7-Th,-4.9,-3.32,,DTNR,-5.22,-3.5,1.72,01:01.5,CB,20,90,25,MoOx,ZnO,1.08,15.72,56,9.51
PBDB-T,-5.33,-2.92,,DTNIC6,-5.87,-3.92,1.7,1:01,CB,18,100,25,MoOx,TiO2:TOPD,0.96,7.71,45.63,3.39
PBDB-T,-5.33,-2.92,,DTNIC8,-5.91,-3.93,1.73,1:01,CB,18,100,25,MoOx,TiO2:TOPD,0.96,12.92,72.84,9.03
PTB7-Th,-5.2,-3.56,,DTCC-IC,-5.5,-3.87,1.59,1:01,CF,13,,100,PEDOT:PSS,Ca,0.95,11.23,56.2,6
P3HT,-5.1,-3.1,,DNIT-TT2T,-5.94,-3.75,2.19,1:01,o-DCB,,80,130,PEDOT:PSS,Ca,0.88,3.28,43.47,1.25
PTB7-Th,-4.9,-3.32,,DICTF,-5.67,-3.79,1.82,01:01.4,CF,,,100,PEDOT:PSS,PDIN,0.85,16.33,55,7.63
P1_BDT-TBT,-5.1,-3.48,1.6,PY1,-5.27,-4,1.4,1:02,CF,18,,25,PEDOT:PSS,PFN-Br,0.83,10.53,56,4.89
P1_BDT-TBT,-5.1,-3.48,1.6,DCI-2,-5.24,-4.05,1.23,1:02,CF,18,,25,PEDOT:PSS,PFN-Br,0.8,13.77,63,6.94
PBDTTT-C-T,,,,DC-IDT2F,-5.44,-3.88,1.54,2:01,o-DCB,20,,25,MoOx,PEIE,0.96,6.32,50.8,3.08
PTB7-Th,-5.22,-3.64,,IM-IDT,-5.44,-4,1.48,1:01,o-DCB,10,,100,PEDOT:PSS,Ca,0.58,4.96,49.16,1.6
PTB7-Th,-5.22,-3.64,,TIM-IDT,-5.36,-4.01,1.43,1:01,o-DCB,10,,25,PEDOT:PSS,Ca,0.6,5.26,45.53,1.63
PTB7-Th,-5.2,-3.61,,COTIC-4F,-5.26,-4.16,1.1,01:01.5,CB,20,73,25,MoOx,ZnO,0.56,20.3,56.3,6.4
PTB7-Th,-5.2,-3.61,,SiOTIC-4F,-5.28,-4.11,1.17,01:01.5,CF,20,75,25,MoOx,ZnO,0.65,21.6,61.4,8.6
P3HT,-4.77,-2.09,,BTA100,-5.32,-3.23,2.05,1:01,CF,15,82,100,PEDOT:PSS,Ca,1.34,1.65,47,1.04
P3HT,-4.77,-2.09,,BTA101,-5.41,-3.55,1.88,1:01,CF,15,82,120,PEDOT:PSS,Ca,1.19,5.33,56,3.55
P3HT,-4.77,-2.09,,BTA103,-5.37,-3.61,1.76,1:02,CF,15,82,120,PEDOT:PSS,Ca,0.94,8.56,66,5.31
PTB7-Th,,,,6TIC,-5.21,-3.83,1.38,01:01.5,CB,25,100,150,MoOx,ZnO,0.831,20.11,66.16,11.07
PTB7-Th,-5.39,-3.12,,COi8DFIC,-5.5,-3.88,1.26,1:01,CB,18,124,25,MoOx,ZnO,0.68,26.12,68.2,12.16
PTB7-Th,,,,IDT-2BR,-5.52,-3.69,1.68,1:01,o-DCB:CF (4:1),15,80,25,PEDOT:PSS,Ca,0.99,14,60,7.7
PTB7-Th,,,,IDT-2BR1,-5.37,-3.67,1.61,1:01,o-DCB:CF (4:1),15,80,25,PEDOT:PSS,Ca,0.95,15.2,60,8.7
PTB7-Th,-5.2,-3.6,,ATT-2,-5.5,-3.9,1.32,01:01.8,CB,22.4,,25,MoOx,ZnO,0.73,20.75,63,9.58
PTB7-Th,-5.2,-3.63,,IFIC-i-2F,-5.42,-3.91,1.34,01:01.8,CB,20,120,25,MoOx,ZnO,0.72,20.95,65,9.82
PTB7-Th,-5.2,-3.63,,IFIC-i-4F,-5.34,-3.96,1.3,01:01.8,CB,20,120,25,MoOx,ZnO,0.67,22.65,66,10.1
PTB7-Th,-5.2,-3.63,,IFIC-i-6F,-5.31,-4,1.27,01:01.8,CB,20,120,25,MoOx,ZnO,0.61,22,70,9.43
PTB7-Th,,,,ATT-1,-5.5,-3.63,1.54,01:01.5,o-DCB,25,130,25,PEDOT:PSS,PFN-Br,0.87,16.48,70,10.07
PDBT-T1,-5.36,-3.43,,IC-C6IDT-IC,-5.69,-3.91,1.62,1:01,CF,12,90,25,MoOx,ZnO,0.89,15.05,65,8.71
PBDTT-6ttTPD,-5.36,-3.51,1.85,ITIC,-5.8,-4.21,1.59,1:01,CF,12,100,25,MoOx,ZnO,0.942,15.63,67.8,9.98
PMOT16,-5.52,-3.66,1.86,ITIC,-5.8,-4.21,1.59,1:01,CF,12,100,25,MoOx,ZnO,1.001,13,58.7,7.63
PBDTT-6ttTPD,-5.36,-3.51,1.85,IDIC,-5.92,-4.31,1.61,1:01,CF,12,100,25,MoOx,ZnO,0.822,15.93,65.5,8.58
PMOT16,-5.52,-3.66,1.86,IDIC,-5.92,-4.31,1.61,1:01,CF,12,100,25,MoOx,ZnO,0.925,16.13,67.3,10.04
PTZP,-5.41,-3.4,2.01,IDIC,-5.64,-3.94,,01:01.5,CB,18,100,25,PEDOT:PSS,PFN-Br,0.9,17.9,73.3,11.8
PffBT2T-TT,-5.42,-3.52,1.63,O-IDTBR,-5.51,-3.55,1.63,01:01.5,"1,2,4-trimethylbenzene",17.5,,90,V2O5,ZnO,1.08,14.32,67,10.4
PffBT4T-2OD,,,1.67,EH-IDTBR,,,,01:01.5,o-xylene,,100,100,MoOx,ZnO,1.08,14.65,60,9.5
PTB7-Th,-5.15,-3.44,,IDT-BT-R,-5.3,-3.56,1.69,01:01.5,o-DCB,25,100,150,PEDOT:PSS,Ca,1.02,13.6,59.1,8.2
PTB7-Th,-5.15,-3.44,,IDT-BT-R-CN,-5.38,-3.67,1.63,1:02,o-DCB,25,100,150,PEDOT:PSS,Ca,0.88,12.4,50.1,5.5
P3HT,-5,-3.59,,I-IDTBTRh,-5.42,-3.68,1.89,01:00.8,CF,,,140,PEDOT:PSS,Ca,0.86,8.81,71,5.38
P3HT,-5,-3.1,,BTA1,-5.51,-3.55,1.85,01:00.6,CF,15,,100,PEDOT:PSS,Ca,1.02,7.34,70,5.24
P3HT,-5,-3.1,,BTA2,-5.43,-3.38,2,0.6:1,CF,15,,100,PEDOT:PSS,Ca,1.22,6.15,60,4.5
J71,-5.4,-3.24,1.96,ITIC,-5.51,-3.84,,1:01,CF,12,100,150,PEDOT:PSS,PDINO,0.94,17.32,69.77,11.41
P3HT,,,,IDT-2BR,-5.52,-3.69,1.69,01:00.6,o-DCB,25,80,25,PEDOT:PSS,Ca,0.84,8.91,68.1,5.12
PTB7-Th,-5.24,-3.66,,IEICO-4F,-5.15,-3.41,1.24,01:01.5,CB,25,100,100,PEDOT:PSS,PFN-Br,0.739,22.8,59.4,10
J52,-5.21,-2.99,,IEICO-4F,-5.15,-3.41,1.24,01:01.5,CB,25,100,100,PEDOT:PSS,PFN-Br,0.734,21.9,58.5,9.4
PffT2-FTAZ-2DT,-5.28,-3.37,1.91,IEIC,-5.45,-3.88,1.57,1:01,CB,6,80,90,V2O5,ZnO,0.998,12.2,59,7.2
PTB7-Th,,,,IEIC1,-5.44,-3.87,1.62,10:06,o-DCB,,,25,PEDOT:PSS,Ca,0.84,9.9,44,3.9
PTB7-Th,,,,IEIC2,-5.45,-3.87,1.6,10:12,o-DCB,,,25,PEDOT:PSS,Ca,0.91,11.1,50,5.4
PTB7-Th,,,,IEIC3,-5.46,-3.86,1.6,10:15,o-DCB,,,25,PEDOT:PSS,Ca,0.93,12.8,58,7.4
PTB7-Th,,,,IEIC,-5.48,-3.85,1.61,10:15,o-DCB,,,25,PEDOT:PSS,Ca,0.95,12.3,49,6
PBDB-T,-5.33,-3.53,,IT-M,-5.58,-3.98,1.6,1:01,CB,20,100,160,MoOx,ZnO,0.94,17.44,73.5,12.05
PBDB-T,-5.33,-3.53,,IT-DM,-5.56,-3.93,1.62,1:01,CB,20,100,160,MoOx,ZnO,0.97,16.48,70.6,11.29
PBDB-ST,-5.37,-3.59,1.81,ITIC-SC6,-5.68,-3.91,1.6,1:01,o-DCB,8,80,25,MoOx,ZnO,0.9,13.87,58,7.27
PBDB-ST,-5.37,-3.59,1.81,ITIC-SC8,-5.7,-3.9,1.6,1:01,o-DCB,8,80,25,MoOx,ZnO,0.9,14.43,60,7.79
PBDB-ST,-5.37,-3.59,1.81,ITIC-SC2C6,-5.74,-3.86,1.6,1:01,o-DCB,8,80,25,MoOx,ZnO,0.92,15.32,64,9.16
PTB7-Th,-5.2,-3.56,,ITIC-Th,-5.66,-3.93,1.6,01:01.3,o-DCB,20,120,25,MoOx,ZnO,0.8,15.93,68,8.7
PDBT-T1,-5.36,-3.43,,ITIC-Th,-5.66,-3.93,1.6,1:01,CF,12,100,25,MoOx,ZnO,0.88,16.24,67.1,9.6
P2F-EH,-5.36,-3.04,1.85,ITIC,-5.64,-3.89,1.6,1:01,CF,11,100,100,PEDOT:PSS,PFNDI-Br,0.983,12.4,50.48,6.13
P2F-Ehp,-5.38,-3.06,1.85,ITIC,-5.64,-3.89,1.6,1:01,CF,11,100,100,PEDOT:PSS,PFNDI-Br,1.017,13.02,54.79,7.28
P2F-EO,-5.41,-3.08,1.85,ITIC,-5.64,-3.89,1.6,1:01,CF,11,100,100,PEDOT:PSS,PFNDI-Br,1.013,12.65,52.53,6.73
P2F-Ehp,-5.38,-3.06,1.85,IT-F,-5.66,-3.95,1.54,1:01,CF,11,100,100,PEDOT:PSS,PFNDI-Br,0.959,16.91,61.94,10.06
P2F-Ehp,-5.38,-3.06,1.85,IT-2F,-5.64,-4.05,1.53,1:01,CF,11,100,100,PEDOT:PSS,PFNDI-Br,0.891,19.65,74.09,12.96
PB3T,-5.39,-3.37,1.96,IT-M,-5.58,-3.96,,60:40:00,Anisole,8,100,25,PEDOT:PSS,PFN-Br,1,18.9,63,11.9
PBDB-T,,,,IT-M,,-3.98,,1:01,CB,20,115,100,MoOx,EDTA-ZnO,0.953,17.34,73.2,12.1
PBDB-T,-5.36,-3.54,1.82,ITIC,,,,1:01,CB,20,,160,MoOx,ZnO,0.86,18.12,64.29,10.02
PBDB-T,-5.33,-3.53,,ITIC,-5.61,-4.02,,1:01,CB,,160,110,PEDOT:PSS,PFN-Br,0.896,16.55,70.73,10.54
PBDB-T,-5.33,-3.53,,IT-M,-5.58,-3.98,,1:01,CB,,160,110,PEDOT:PSS,PFN-Br,0.95,16.37,74.06,11.52
PBDB-T,,,,DICTiF,-5.55,-3.62,1.75,01:01.4,CF,,,80,PEDOT:PSS,PDIN,0.98,11.2,65,6.97
PffBT4T-2OD,-5.3,-3.7,,BAF-4CN,-5.7,-3.6,2.16,01:01.4,o-DCB:CB (1:1),,300,25,MoOx,ZnO,0.769,15.52,70.7,8.4
PBDB-T,,,,DCF-2HT,-5.67,-3.72,1.93,01:01.4,CF,,,25,PEDOT:PSS,PDIN,1.02,11.3,49.5,5.71
PTB7-Th,,,,DCF-2HT,-5.67,-3.72,1.93,01:01.4,CF,,,25,PEDOT:PSS,PDIN,0.96,12.43,40.04,4.83
FTAZ,-5.38,-3.17,,ITIC1,-5.48,-3.84,1.55,01:01.3,CF,11.5,90,25,MoOx,ZnO,0.921,16.45,56.4,8.54
FTAZ,-5.38,-3.17,,ITIC2,-5.43,-3.8,1.53,01:01.3,CF,11.5,90,110,MoOx,ZnO,0.925,18.88,63,11
PTB7-Th,-5.22,-3.64,,BT-IC,-5.32,-3.85,,01:01.5,CB:CF (9:1),25,130,150,MoOx,ZnO,0.81,17.5,59.6,8.3
PTB7-Th,-5.49,-4.09,,BT-CIC,-5.32,-3.85,1.33,01:01.5,CB:CF (9:1),25,130,150,MoOx,ZnO,0.7,22.5,71,11.2
FTAZ,-5.38,-3.17,,IDIC1,-5.51,-3.81,1.67,01:01.5,CF,12.5,100,25,MoOx,ZnO,0.896,13.6,58.5,7.13
FTAZ,-5.38,-3.17,,IHIC1,-5.47,-3.75,1.69,01:01.5,CF,12.5,100,25,MoOx,ZnO,0.95,14.3,67.9,9.21
PBDB-T,-5.33,-2.92,,NTIC,-5.58,-3.76,1.67,01:00.8,CF,9,100,25,PEDOT:PSS,PDINO,0.935,13.55,68.1,8.63
PBDB-T,-5.33,-2.92,,NTIC-Me,-5.53,-3.73,1.74,01:00.8,CF,9,100,25,PEDOT:PSS,PDINO,0.963,13.93,66.2,8.3
PBDB-T,-5.33,-2.92,,NTIC-OMe,-5.53,-3.7,1.71,01:00.8,CF,9,100,25,PEDOT:PSS,PDINO,0.965,13.52,66,8.61
PBDB-T,-5.33,-2.92,,NTIC-F,-5.52,-3.77,1.66,01:00.8,CF,9,100,25,PEDOT:PSS,PDINO,0.812,15.04,66.3,8.1
PffBT4T-2OD,-5.34,-3.69,1.61,FBR,-5.83,-3.7,2.13,01:01.4,o-DCB:CB (1:1),14,100,25,MoOx,ZnO,1.11,12.62,50,7.04
PBT1-C,-5.47,-3.46,1.87,IT-4F,-5.74,-4.11,1.53,1:01,CB,,,25,MoOx,ZnO,0.79,19.7,70.5,10.9
PBT1-C-2Cl,-5.59,-3.53,1.85,IT-4F,-5.74,-4.11,1.53,1:01,CB,,,25,MoOx,ZnO,0.85,19.74,76,12.7
J71,-5.25,-3.18,,IT-IC,-5.58,-3.88,1.59,01:01.2,CF,16,130,25,PEDOT:PSS,PDINO,0.96,14.8,63.6,9.3
J71,-5.25,-3.18,,BDT-IC,-5.51,-3.9,1.53,01:01.2,CF,16,130,25,PEDOT:PSS,PDINO,0.92,17.3,65.5,10.9
PBDB-TF,-5.47,-3.67,1.8,IT-4F,,,,1:01,CB,20,100,100,PEDOT:PSS,PFN-Br,0.86,20.8,76,13.59
PBDB-TF,-5.47,-3.67,1.8,IT-4Cl,-5.75,-4.09,1.66,1:01,CF,14,100,100,PEDOT:PSS,PFN-Br,0.78,22.25,73,12.67
PBDB-T-2Cl,-5.51,-3.71,1.8,IT-4F,,,,1:01,CB,20,100,100,PEDOT:PSS,PFN-Br,0.89,20.58,78,14.29
PBDB-T-2Cl,-5.51,-3.71,1.8,IT-4Cl,-5.75,-4.09,1.66,1:01,CF,14,100,100,PEDOT:PSS,PFN-Br,0.81,22.01,74,13.37
P1_PDTB-EF-T,-5.51,-3.59,1.93,IT-4F,-5.66,-4.14,1.52,1:01,CB,18,,25,PEDOT:PSS,PFN-Br,0.896,20.05,64,11.5
P2_PDTB-EF-T,-5.5,-3.59,1.93,IT-4F,-5.66,-4.14,1.52,1:01,CB,18,100,150,MoOx,ZnO,0.9,20.74,76,14.2
P3_PDTB-EF-T,-5.54,-3.6,1.94,IT-4F,-5.66,-4.14,1.52,1:01,CB,18,,25,PEDOT:PSS,PFN-Br,0.904,20.31,61,11.2
PBDB-T-SF,-5.42,-3.64,,NCBDT-4Cl,-5.6,-4.02,1.4,1:01,CF,,110,110,PEDOT:PSS,PDINO,0.851,22.35,74.3,14.1
PBDB-TF,-5.56,-3.5,,Y6,-5.65,-4.1,1.81,01:01.2,CF,16,150,110,PEDOT:PSS,PDINO,0.83,25.3,74.8,15.7
PBDB-T,,,1.6,ITC6-IC,-5.73,-3.92,1.6,1:01,CB,12.5,110,125,MoOx,ZnO,0.97,16.41,73,11.61
J71,,,,ITC6-IC,,,,,CF,12,93,,PEDOT:PSS,PDINO,0.938,18.35,65.77,11.32
PTQ10,,,,IDIC,,,,,CF,12,112,,PEDOT:PSS,PDINO,0.943,18.75,69.66,12.32
J71,,,,MeIC,,,,,CF,12,103,,PEDOT:PSS,PDINO,0.919,17.77,69.89,11.43
J71,,,,ITCPTC,,,,,CF,12,90,,PEDOT:PSS,PDINO,0.881,17.46,67.96,10.46
J71,,,,ITIC,,,,,CF,12,102,,PEDOT:PSS,PDINO,0.93,18.06,65.75,10.95
PBDB-TF,-5.5,-3.75,,IT-4F,-5.64,-4.06,,1:01,CB,20,100,25,PEDOT:PSS,PFN-Br,0.86,20.8,74.5,13.37
PBDB-TF,-5.5,-3.75,,ITIC,-5.62,-3.87,,1:01,CB,20,100,25,PEDOT:PSS,PFN-Br,1,16.1,66.07,10.64
PBDB-T,-5.33,-3.16,,ATT-6,-5.45,-3.61,1.53,1:01,CF,15,,160,PEDOT:PSS,PDINO,0.96,14.66,59.37,8.22
PBDB-T,-5.33,-3.16,,ATT-7,-5.48,-3.66,1.54,1:01,CF,15,,160,PEDOT:PSS,PDINO,0.97,15.99,66.67,10.12
PBDB-T,-5.39,-3.5,,Y1,-5.45,-3.95,1.44,1:01,CB,16,100,25,MoOx,ZnO,0.87,22.44,69.1,13.42
PBDB-T,-5.39,-3.5,,Y2,-5.43,-4.04,1.4,1:01,CB,16,100,25,MoOx,ZnO,0.82,23.56,69.4,13.4
PBDB-T,-5.26,-3.63,,BDTS-4Cl,-5.45,-3.82,1.46,1:01,CF,,110,25,PEDOT:PSS,PDINO,0.83,9.8,45.9,3.73
PBDB-T,-5.26,-3.63,,BDTC-4Cl,-5.35,-3.75,1.42,1:01,CF,,110,25,PEDOT:PSS,PDINO,0.864,18.56,59.5,9.54
PTBB-o,-5.52,-3.37,1.89,ITCPTC,-5.62,-3.96,,1:01,CF,16,110,100,MoOx,ZnO,0.99,7.35,30.5,2.14
PTBB-m,-5.48,-3.42,1.88,ITCPTC,-5.62,-3.96,,1:01,CF,16,110,100,MoOx,ZnO,0.97,15.04,48.4,7.07
PTBB-p,-5.41,-3.49,1.84,ITCPTC,-5.62,-3.96,,1:01,CF,16,110,100,MoOx,ZnO,0.91,15.7,50.9,7.26
PBDS-TZ,-5.41,-3.46,1.95,IT-4F,-5.66,-4.14,,1:01,CB,16,,90,MoOx,ZnO,0.804,20.05,73.1,12.01
J71,,,,BTA701,-5.27,-2.83,2.1,1:01,CF,,,120,PEDOT:PSS,Ca,1.32,0.21,25,0.07
J71,,,,BTA3,-5.49,-3.61,1.76,1:01,CF,,,150,PEDOT:PSS,Ca,1.2,10.39,69,8.6
J71,,,,BTA703,-5.5,-3.9,1.5,01:00.5,CF,,,120,PEDOT:PSS,Ca,0.85,3.56,40,1.21
PTB7-Th,-5.25,-3.59,,Py-1,-5.79,-3.76,1.95,01:01.5,CF,10,100,25,MoOx,ZnO,0.74,12.09,65,5.88
PTB7-Th,-5.25,-3.59,,Py-2,-5.83,-3.78,1.97,1:01,CF,10,100,25,MoOx,ZnO,0.75,9.67,47,3.47
PBB-T,-5.4,-3.3,2.1,ITIC-F,-5.69,-4.14,1.55,01:01.2,CB,15.4,100,150,PEDOT:PSS,PDINO,0.91,20.9,70,13.3
PFBDB-T,-5.47,-3.46,1.77,C8-ITIC,-5.63,-3.91,1.55,01:01.3,CB,20,,25,MoOx,ZnO,0.93,19.59,69,12.5
P_TBTT-BTT,-5.15,-3.58,1.57,ICz-Rd2,-5.59,-3.88,1.71,1:01,CF,15,90,40,PEDOT:PSS,PFN,1.04,14.04,54,7.88
P_TBTT-BTT,-5.15,-3.58,1.57,ICz-RdCN2,-5.58,-3.98,1.61,1:01,CF,15,90,40,PEDOT:PSS,PFN,1.01,15.58,62,9.76
PBZ,-5.18,-3.22,1.94,IT-4F,-5.69,-4.07,1.5,1:01,Toluene,20,,25,MoOx,ZnO,0.6,17,63.2,6.4
PBZ-Cl,-5.39,-3.41,1.94,IT-4F,-5.69,-4.07,1.5,1:01,Toluene,20,,25,MoOx,ZnO,0.8,17.7,68.3,9.7
PBZ-ClSi,-5.56,-3.5,1.94,IT-4F,-5.69,-4.07,1.5,1:01,Toluene,20,100,25,MoOx,ZnO,0.93,19.2,71.5,12.8
PT1,-5.46,-3.59,1.87,ITIC,-5.6,-4.05,,01:01.5,CB,20,100,25,MoOx,ZnO,0.95,5.77,39,2.13
PT2,-5.35,-3.58,1.77,ITIC,-5.6,-4.05,,01:01.5,CB,20,100,25,MoOx,ZnO,0.84,16.33,64,9
PT3,-5.37,-3.54,1.83,ITIC,-5.6,-4.05,,01:01.5,CB,20,100,25,MoOx,ZnO,0.88,15.52,68,9.21
PBDB-T,-5.33,-3.53,,DF-TCIC,-5.37,-3.76,1.66,01:01.2,CF,15,100,140,MoOx,PFN,0.86,16.39,58,8.23
PBDB-T,-5.33,-3.53,,HF-TCIC,-5.43,-3.83,1.44,01:01.2,CF,15,100,120,MoOx,PFN,0.76,20.04,65,9.86
BO2FC8,-5.5,-3.6,1.77,m-ITIC-OR-4Cl,-5.78,-4.05,1.52,01:01.5,CB,15,100,150,MoOx,ZnO,0.83,20.2,63.3,11
BO2FEH,-5.59,-3.59,1.8,m-ITIC-OR-4Cl,-5.78,-4.05,1.52,01:01.5,CB,15,100,150,MoOx,ZnO,0.88,14.4,48.5,6.4
PTB-EDOT,-5.33,-3.63,1.57,ITIC-Th,-5.66,-3.93,,01:01.5,MeTHF,16,100,100,MoOx,ZnO,0.84,15.37,66.5,8.59
PTB-EDOTS,-5.38,-3.69,1.55,ITIC-Th,-5.66,-3.93,,01:01.5,MeTHF,16,100,100,MoOx,ZnO,0.88,16.25,71.2,10.18
POPB,-5.38,-3.57,1.81,IT-4F,-5.69,-4.07,,01:01.5,CB,20,,25,MoOx,ZnO,0.72,16.8,51.2,6.2
PFOPB,-5.5,-3.64,1.86,IT-4F,-5.69,-4.07,,01:01.5,CB,20,,25,MoOx,ZnO,0.89,20.4,64.5,11.7
P3HT,-5,-3.1,,BIBT-NI,-5.62,-3.65,2.04,01:01.2,o-DCB,28,90,110,MoOx,ZnO,0.77,6.14,44.2,2.1
PBDT-F-2TC,-5.55,-3.58,1.97,IT-4F,-5.68,-4.13,,1:01,CB,,100,110,PEDOT:PSS,PFN-Br,0.91,18.9,62.51,10.75
