Donor,HOMO_D,LUMO_D,Eg_D,Acceptor,HOMO_A,LUMO_A,Eg_A,DA ratio,solvent,total solids,thickness,Temp,HTL,ETL,Voc,Jsc,FF,PCE
J62,-5.31,-3.08,1.92,ITIC,-5.48,-3.83,,1.5:1,CF,18,263,25,PEDOT:PSS,PDINO,0.904,16.12,62.36,9.09
J63,-5.28,-3.04,1.92,ITIC,-5.48,-3.83,,1.5:1,CF,18,166.5,25,PEDOT:PSS,PDINO,0.882,15.72,53.11,7.38
J64,-5.33,-3.09,1.92,ITIC,-5.48,-3.83,,1.5:1,CF,18,321,25,PEDOT:PSS,PDINO,0.908,15.22,54.32,7.51
J81,-5.43,-2.98,1.93,ITIC,,,,1:01,CF,18,,160,PEDOT:PSS,PDINO,0.95,15.27,73.08,10.6
J81,-5.43,-2.98,1.93,m-ITIC,-5.52,-3.82,1.59,1:01,CF,18,,160,PEDOT:PSS,PDINO,0.96,16.47,69.83,11.05
PBDT(T)[2F]T,-5.22,-3.22,2,ITIC,-5.48,-3.83,1.6,1:01,CB,10,65,160,MoOx,ZnO,0.94,16.9,62,9.8
PBDT[2F]T,-5.29,-3.19,2.1,ITIC,-5.48,-3.83,1.6,1.5:1,CB,10,70,25,MoOx,ZnO,0.94,11.6,53,5.8
PBDT[2H]T,-5.03,-2.93,2.1,ITIC,-5.48,-3.83,1.6,1:01,CB,10,80,160,MoOx,ZnO,0.79,7.6,41,2.5
PBDT-2TC,-5.43,-3.57,1.96,ITIC,-5.51,-3.84,1.6,1:01,CB,16,110,120,PEDOT:PSS,C60-bissalt,0.93,15.3,65.7,9.35
PBDT-S-2TC,-5.47,-3.58,1.94,ITIC,-5.51,-3.84,1.6,1:01,CB,16,110,120,PEDOT:PSS,C60-bissalt,0.96,16.4,64.3,10.12
PBDT-DTN,-5.37,-3.53,1.84,ITIC,,,,4:06,CF,,90,25,PEDOT:PSS,Ca,0.92,13.8,65,8.3
PBDT-FBT,-5.14,-3.35,1.69,ITIC,-5.48,-3.83,1.59,1:01,CB,20,99,25,MoOx,ZnO,0.82,13.73,63.8,7.15
PBDTF-FBT,-5.34,-3.53,1.71,ITIC,-5.48,-3.83,1.59,1:01,CB,20,107,25,MoOx,ZnO,0.9,15.38,66.3,9.17
PBDTS-FBT,-5.2,-3.4,1.7,ITIC,-5.48,-3.83,1.59,1:01,CB,20,104,25,MoOx,ZnO,0.89,14.63,65.9,8.58
PBDTSF-FBT,-5.41,-3.6,1.71,ITIC,-5.48,-3.83,1.59,1:01,CB,20,109,25,MoOx,ZnO,1.03,17.09,66.3,11.66
PBDT-NQx,-5.24,-3.42,1.8,ITIC,-5.48,-3.83,1.59,01:00.8,CB,20,110,25,MoOx,ZnO,0.87,16.21,64.6,9.11
PBDTS-NQx,-5.31,-3.46,1.81,ITIC,-5.48,-3.83,1.59,01:00.8,CB,20,109,25,MoOx,ZnO,0.92,17.86,69.8,11.47
PBDTS-TDZ,-5.39,-2.8,2.09,ITIC,-5.48,-3.83,1.59,1:01,o-xylene,20,100,25,MoOx,ZnO,1.1,17.78,65.4,12.8
PBDT-TDZ,-5.35,-2.78,2.07,ITIC,-5.48,-3.83,1.59,1:01,o-xylene,20,100,25,MoOx,ZnO,1.02,15.91,58.1,9.43
PBFZ-OP,-5.33,-3.01,1.99,ITIC,-5.6,-3.85,1.59,1:01,CF,16,,160,MoOx,ZnO,0.91,18.7,61.8,10.5
PSBZ,-5.37,-3.47,1.93,ITIC,-5.6,-3.85,1.59,1:01,CB,20,,140,MoOx,ZnO,0.89,19,62,10.5
J71,-5.4,-3.65,1.96,ITIC1,-5.48,-3.86,1.55,1:01,CF,14,100,100,PEDOT:PSS,ZrAcAc,0.92,14.94,61.2,8.47
J71,-5.4,-3.65,1.96,ITIC5,-5.48,-3.95,1.53,1:01,CF,14,100,100,PEDOT:PSS,ZrAcAc,0.892,18.35,74.7,12.2
PBDT-ODZ,-5.68,-2.89,2.12,ITIC-Th,-5.78,-3.74,1.6,1:01,CB,20,100,25,CuSCN,PFN-Br,1.08,15.52,60.4,10.12
FTAZ,-5.38,-3.17,2,ITIC-Th,-5.66,-3.93,1.6,01:01.5,CF,12,120,25,MoOx,ZnO,0.915,15.84,61.26,8.88
FTAZ,-5.38,-3.17,2,ITIC-Th1,-5.74,-4.01,1.55,01:01.5,CF,12,120,25,MoOx,ZnO,0.849,19.33,73.73,12.1
FTAZ,-5.38,-3.17,2,ITIC-Th2,-5.75,-4.07,1.54,01:01.5,CF,12.5,100,25,MoOx,ZnO,0.751,17.19,70.07,9.06
FTAZ,-5.38,-3.17,2,ITIC-Th3,-5.67,-3.73,1.63,01:01.5,CF,12.5,100,25,MoOx,ZnO,0.962,16.34,68.33,10.7
J52,-5.21,-2.99,1.96,IT-M,-5.56,-3.98,1.63,1:01,CB,12,100,150,PEDOT:PSS,PFN-Br,0.843,17.1,65.1,9.4
J52,-5.21,-2.99,1.96,IEICO,-5.32,-3.95,1.34,1:01,CB,12,100,150,PEDOT:PSS,PFN-Br,0.848,15.1,51,6.5
J71,-5.4,-3.24,1.96,ITVffIC,-5.58,-4.04,1.4,01:01.2,CF,,100,160,PEDOT:PSS,PDINO,0.81,20.6,63.18,10.54
J71,-5.4,-3.24,1.96,ITVfIC,-5.56,-4.01,1.37,01:01.2,CF,,100,160,PEDOT:PSS,PDINO,0.84,19.73,58.67,9.72
J71,-5.4,-3.24,1.96,ITVIC,-5.46,-3.97,1.35,01:01.2,CF,,100,160,PEDOT:PSS,PDINO,0.89,14.47,57.64,7.34
J71,-5.4,-3.24,1.96,MeIC2,-5.56,-3.97,1.51,1:01,CF,18,100,150,PEDOT:PSS,PDIN,0.885,16.9,69.4,10.2
J70,-5.37,-2.91,1.99,m-ITIC,-5.52,-3.82,1.58,01:01.5,CF,20,,150,PEDOT:PSS,PDINO,0.92,18.09,69.82,11.62
J71,-5.4,-3.24,1.96,m-ITIC,-5.52,-3.82,1.58,01:01.5,CF,20,,150,PEDOT:PSS,PDINO,0.944,18.09,70.59,12.05
J72,-5.42,-3.29,1.98,m-ITIC,-5.52,-3.82,1.58,01:01.5,CF,20,,150,PEDOT:PSS,PDINO,0.962,16.35,65.03,10.23
J73,-5.46,-2.92,1.98,m-ITIC,-5.52,-3.82,1.58,01:01.5,CF,20,,150,PEDOT:PSS,PDINO,0.974,16.45,66.87,10.71
J74,-5.56,-3.06,1.99,m-ITIC,-5.52,-3.82,1.58,01:01.5,CF,20,,150,PEDOT:PSS,PDINO,0.99,15.89,61.18,9.63
J91,-5.5,-3.02,2,m-ITIC,-5.54,,1.58,01:01.5,CF,12,100,150,PEDOT:PSS,PDINO,0.984,18.03,65.54,11.63
J52,-5.17,-2.99,1.96,m-ITIC,-5.54,,1.58,01:01.5,CF,12,100,150,PEDOT:PSS,PDINO,0.701,17.16,49.73,5.98
J71,-5.4,-3.24,1.96,m-MeIC,-5.54,-3.9,1.54,1:01,CF,,100,150,PEDOT:PSS,PDINO,0.919,18.45,69.2,11.73
PBDB-T,-5.33,-3.53,1.78,m-MeIC,-5.54,-3.9,1.54,1:01,CF,,100,150,PEDOT:PSS,PDINO,0.843,18.16,69.7,10.68
PTB7-Th,-5.2,-3.6,1.58,m-MeIC,-5.54,-3.9,1.54,1:01,CF,,100,25,PEDOT:PSS,PDINO,0.796,16.52,61.7,8.12
J61,-5.32,-3.38,1.93,TP21,-5.46,-3.61,1.65,1:01,CB,20,100,140,PEDOT:PSS,Ca,1.05,10.92,51,5.81
FTAZ,-5.38,-3.17,2,IHIC2,-5.69,-3.86,1.66,01:01.5,CF,13.5,100,25,MoOx,ZnO,0.775,15.7,61.2,7.45
FTAZ,-5.38,-3.17,2,IOIC2,-5.41,-3.78,1.55,01:01.5,CF,13.5,100,25,MoOx,ZnO,0.9,19.7,69.3,12.3
PBQ-0F,-5.18,-3.48,1.7,ITIC,-5.53,-3.94,1.57,1:01,THF,12,100,160,MoOx,ZnO,0.69,16.16,59.91,6.68
PBQ-QF,-5.34,-3.62,1.72,ITIC,-5.53,-3.94,1.57,1:01,THF,12,100,160,MoOx,ZnO,0.83,17.16,62.49,8.9
PBQ-4F,-5.49,-3.7,1.79,ITIC,-5.53,-3.94,1.57,1:01,THF,12,100,160,MoOx,ZnO,0.95,17.87,66.8,11.34
PBTA-TF,-5.36,-3.42,1.9,ITCC,-5.47,-3.76,1.67,1:01,CF,16,105,100,PEDOT:PSS,PFN-Br,1,15.54,67,10.4
PBTA-TF,-5.36,-3.42,1.9,IT-M,-5.58,-3.85,1.6,1:01,CF,16,98,100,PEDOT:PSS,PFN-Br,0.97,17.76,71,12.2
PBTA-TF,-5.36,-3.42,1.9,IT-4F,-5.66,-4.14,1.52,1:01,CF,16,96,100,PEDOT:PSS,PFN-Br,0.73,20.24,72,10.6
PBTA-TF,-5.36,-3.42,1.9,IT-M,-5.58,-3.85,1.6,1:01,THF,16,108,100,PEDOT:PSS,PFN-Br,0.96,18.37,67,12
PBTA-TF,-5.36,-3.42,1.9,IT-M,-5.58,-3.85,1.6,1:01,o-xylene,24,112,100,PEDOT:PSS,PFN-Br,0.97,18.74,72,13.1
PBDB-T,-5.33,-2.92,1.78,ITIC,-5.51,-3.78,1.59,1:01,CB,20,100,160,MoOx,ZnO,0.899,16.81,74.2,11.21
PBDB-T-SF,-5.4,-3.6,1.8,IT-4F,-5.66,-4.14,1.52,1:01,CB,25,100,25,MoOx,ZnO,0.88,20.88,71.3,13.1
PBDB-T,-5.28,-3.48,1.78,ITIC,-5.5,-3.89,1.59,1:01,CB,20,100,25,MoOx,ZnO,0.9,17.03,72.1,11.05
PCDTBT-C12,-5.23,-3.26,1.97,SM1,-5.93,-3.5,2.43,1:02,o-DCB,,52,90,PEDOT:PSS,LiF,1.04,4.79,56,2.78
PCDTBT-C12,-5.23,-3.26,1.97,SM2,-5.98,-3.62,2.36,1:02,o-DCB,,60,90,PEDOT:PSS,LiF,1.11,2.21,30,0.74
PCDTBT-C12,-5.23,-3.26,1.97,SM3,-5.95,-3.68,2.27,1:02,o-DCB,,66,90,PEDOT:PSS,LiF,1.09,1.71,30,0.56
PCDTBT-C12,-5.23,-3.26,1.97,SM4,-5.8,-3.65,2.15,1:02,o-DCB,,57,90,PEDOT:PSS,LiF,1.24,0.37,28,0.13
PTB7,-5.21,-3.36,1.69,SFBRCN,-5.93,-3.86,2.05,01:01.2,CB,22,100,25,MoOx,ZnO,0.85,13.85,60.7,7.34
PTB7-Th,-5.27,-3.55,,SFBRCN,-5.93,-3.86,2.05,01:01.2,CB,22,100,25,MoOx,ZnO,0.9,17.24,64,9.9
PBDB-T,,,,ITIC,-5.5,-3.9,1.59,1:01,CB,20,110,100,PEDOT:PSS,PFN-Br,0.93,17,67,10.6
PBDB-T,,,,ITCC,-5.47,-3.76,1.67,1:01,CB,20,110,100,PEDOT:PSS,PFN-Br,1.01,15.9,71,11.4
PBDTTT-E-T,-5.09,-3.48,1.55,IEIC,-5.47,-3.9,1.5,01:01.5,CB,25,105,100,PEDOT:PSS,PFN-Br,0.9,11.7,47,4.9
PBDTTT-E-T,-5.09,-3.48,1.55,IEICO,-5.32,-3.95,1.34,1:01,CB,20,95,100,PEDOT:PSS,PFN-Br,0.82,17.7,58,8.4
PBTT,-5.19,-3.11,1.59,IEICO,-5.32,-3.95,,1:01,CB,22,,100,PEDOT:PSS,PFN-Br,0.86,17.9,61.3,9.5
PTB7-Th,-5.26,-3.19,1.59,IEICO,-5.32,-3.95,,1:01,CB,22,,100,PEDOT:PSS,PFN-Br,0.91,13.3,60.5,7.3
PBDTTT-C-T,-5.11,-3.25,1.58,IEICO,-5.32,-3.95,1.34,,,,,,,,0.89,12.3,59,6.5
PBDB-T,-5.68,-3.84,,NITI,-5.68,-3.84,1.49,1:01,CB,10,100,25,PEDOT:PSS,PNDIT-F3N,0.86,17.8,84,9.49
PTB7-Th,-5.2,-3.59,,IHIC,-5.45,-3.93,1.38,01:01.5,o-DCB,20,100,25,MoOx,ZnO,0.744,17.1,60.9,9.41
P3HT,-5.2,-3.2,,N3,-5.76,-3.97,1.79,01:01.2,o-DCB,,60,25,PEDOT:PSS,Ca,0.87,8.87,60,4.62
P3HT,-5.2,-3.2,,N4,-5.54,-3.67,1.87,01:01.2,o-DCB,,60,25,PEDOT:PSS,Ca,0.91,6.69,58,3.52
P3HT,-5.2,-3.2,,N5,-6.34,-3.73,2.03,01:01.2,o-DCB,,70,25,PEDOT:PSS,Ca,0.97,7.03,59,4.03
P3HT,-5.2,-3.2,,N6,-6.38,-3.98,1.53,01:01.2,o-DCB,,70,25,PEDOT:PSS,Ca,0.9,10.78,63,6.11
PTB7-Th,-5.2,-3.59,,DTPC-IC,-5.21,-3.97,1.24,01:01.5,o-DCB,25,100,25,PEDOT:PSS,C60-bissalt,0.863,8.53,42.4,3.12
PTB7-Th,-5.2,-3.59,,DTPC-DFIC,-5.31,-4.1,1.21,01:01.5,o-DCB,25,100,25,PEDOT:PSS,C60-bissalt,0.76,21.92,61.3,10.21
PBDB-T,-5.33,-2.92,,DICTF,-5.67,-3.79,1.82,01:01.2,CB,22,,25,PEDOT:PSS,PDIN,0.93,10.3,59,5.93
PBDB-T,-5.33,-2.92,,FDICTF,-5.43,-3.71,1.63,01:01.2,CB,22,,25,PEDOT:PSS,PDIN,0.94,15.81,66,10.06
P3HT,-5.08,-2.96,,MPU1,-5.81,-3.99,1.48,1:01,CF,16,90,40,PEDOT:PSS,PFN,0.64,4.22,42,1.14
P_dFBT-DTS,-5.31,-3.33,1.75,MPU1,-5.81,-3.99,1.48,1:01,CF,16,90,40,PEDOT:PSS,PFN,1.04,8.36,48,4.17
PBDB-T,-5.33,-2.92,,IDT-BC6,-5.55,-3.83,1.75,1:01,o-DCB,8,100,25,MoOx,ZnO,0.92,5.63,44,2.3
PBDB-T,-5.33,-2.92,,IDT-BOC6,-5.51,-3.78,1.63,1:01,o-DCB,8,100,25,MoOx,ZnO,1.01,17.52,54,9.6
PTB7-Th,-5.2,-3.59,,ITIC3,-5.54,-3.9,1.55,01:01.5,CF,10,,25,MoOx,ZnO,0.763,16.8,63.1,8.09
PTB7-Th,-5.2,-3.59,,FOIC,-5.36,-3.92,1.32,01:01.5,CF,10,80,25,MoOx,ZnO,0.743,24,67.1,12
P3HT,-5,-3.1,,ATT-3,-5.32,-3.4,1.61,01:00.8,CF,16.2,70,130,PEDOT:PSS,Ca,0.927,10.93,62,6.26
PBDB-T,-5.33,-2.92,,IT-O1,-5.38,-3.33,1.59,1:01,CB,10,101,130,PEDOT:PSS,PFN-Br,0.93,17.35,72,11.6
PBDB-T,-5.33,-2.92,,IT-O2,-5.37,-3.31,1.59,1:01,CB,10,94,130,PEDOT:PSS,PFN-Br,0.97,15.34,62.6,9.3
PBDB-T,-5.33,-2.92,,IT-O3,-5.36,-3.31,1.59,1:01,CB,10,90,130,PEDOT:PSS,PFN-Br,0.98,9.8,51.4,4.9
PBDB-T,-5.33,-2.92,,IT-O4,-5.35,-3.3,1.59,1:01,CB,10,89,130,PEDOT:PSS,PFN-Br,0.95,9.16,47.9,4.2
PTPDBDT,-5.6,-3.75,1.85,ITIC,-5.61,-4.02,1.59,1:01,CF:n-hexane (9:1),,65,25,MoOx,ZnO,1.04,10.6,58,6.4
PTPDBDT,-5.6,-3.75,1.85,F-ITIC,-5.65,-4.09,1.56,1:01,CF:n-hexane (9:1),,40,150,MoOx,ZnO,0.94,14.1,66,8.8
PTPDBDT,-5.6,-3.75,1.85,Cl-ITIC,-5.7,-4.14,1.56,1:01,CF:n-hexane (9:1),,40,150,MoOx,ZnO,0.94,15.6,65,9.5
PTPDBDT,-5.6,-3.75,1.85,Br-ITIC,-5.73,-4.2,1.53,1:01,CF:n-hexane (9:1),,40,150,MoOx,ZnO,0.93,15.4,66,9.4
PTPDBDT,-5.6,-3.75,1.85,I-ITIC,-5.68,-4.14,1.55,1:01,CF:n-hexane (9:1),,40,150,MoOx,ZnO,0.93,14.5,65,8.9
PBDB-T,-5.33,-2.92,,NFBDT,-5.4,-3.83,1.56,01:00.8,CF,9,100,25,PEDOT:PSS,PDIN,0.863,17.35,66.3,10.15
PBDB-T,-5.33,-2.92,,NCBDT,-5.36,-3.89,1.45,01:00.8,CF,9,100,25,PEDOT:PSS,PDINO,0.835,19.73,70.2,11.62
PBDB-T,-5.33,-2.92,,NFBDT,-5.4,-3.83,1.56,01:00.8,CF,9,100,25,PEDOT:PSS,PDINO,0.868,17.85,67.2,10.42
J71,-5.48,-3.6,,ZITI-4F,-5.66,-3.81,1.47,1:01,CF,18,110,120,PEDOT:PSS,PNDIT-F3N,0.85,21.3,72.76,13.18
J71,-5.48,-3.6,2,ZITI,-5.59,-3.74,1.53,1:01,CF,17,,120,PEDOT:PSS,PNDIT-F3N,0.93,20.24,68.61,13.04
PBDB-T,-5.33,-2.92,,DTCCIC-C17,-5.46,-3.65,1.6,01:01.5,CB,,150,25,MoOx,ZnO,0.96,14.03,67,9.02
P3HT,-5,-3.1,,O-IDTBR,-5.56,-3.93,1.63,1:01,CB,24,75,130,MoOx,ZnO,0.72,13.9,60,6.3
P3HT,-5,-3.1,,EH-IDTBR,-5.58,-3.9,1.68,1:01,CB,24,75,130,MoOx,ZnO,0.76,12.1,62,6
P3HT,-5,-3.1,,FBR,-5.7,-3.57,2.14,1:01,CF:o-DCB (4:1),16,80,110,MoOx,ZnO,0.82,7.95,63,4.11
PBDB-T,-5.23,-3.18,,IDTCN,-5.87,-3.92,1.65,1:01,CB,20,100,110,MoOx,ZnO,0.85,12.06,62.48,6.4
P3HT,-5.2,-3.2,,NAI-FN-NAI(BO),-6.07,-3.96,2.13,1:01,CB,20,95,25,PEDOT:PSS,LiF,0.9,9.3,47,3.8
P3HT,-5.2,-3.2,,NAI-FN-NAI(DT),-6.09,-3.97,2.13,1:01,CB,20,95,25,PEDOT:PSS,LiF,0.89,2.55,35,0.75
P3HT,-5.2,-3.2,,PI-FN-PI(DT),-6.02,-3.92,2.07,1:01,CB,20,95,25,PEDOT:PSS,LiF,0.91,4.95,48,2.2
PTzBI,-5.34,-3.46,1.81,ITIC,,,,1:01,CB,20,95,130,PEDOT:PSS,PFN-Br,0.87,18.29,64.34,10.24
P3HT,-5.2,-3.2,,NAI-FN-NAI(HD),-6.06,-3.98,2.12,1:01,CB,20,95,25,PEDOT:PSS,LiF,0.88,7.55,43,2.8
P3HT,-5.2,-3.2,,NAI-FCN-NAI(BO),-6.14,-4.21,1.61,1:01,CB,20,95,25,PEDOT:PSS,LiF,0.58,3.25,39,0.8
FTAZ,-5.38,-3.17,,INIC,-5.45,-3.88,1.57,01:01.5,CF,12.5,100,25,MoOx,ZnO,0.957,13.51,57.9,7.7
FTAZ,-5.38,-3.17,,INIC1,-5.54,-3.97,1.56,01:01.5,CF,12.5,100,25,MoOx,ZnO,0.929,16.63,64.3,10.1
FTAZ,-5.38,-3.17,,INIC2,-5.52,-3.98,1.52,01:01.5,CF,12.5,100,25,MoOx,ZnO,0.903,17.56,66.8,10.8
FTAZ,-5.38,-3.17,,INIC3,-5.52,-4.02,1.48,01:01.5,CF,12.5,100,25,MoOx,ZnO,0.857,19.44,67.4,11.5
